cpcv2,description,common_name,display_name,es_name,fr_name,pt_name,ar_name,aliases,hs2012,scientific_name,per_country_aliases
S61127,"Wholesale trade services, except on a fee or contract basis, of coffee, tea and spices",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61128,"Wholesale trade services, except on a fee or contract basis, of tobacco products",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61129,"Wholesale trade services, except on a fee or contract basis, of food products n.e.c.",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S6113,"Wholesale trade services, except on a fee or contract basis, of textiles, clothing and footwear",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61131,"Wholesale trade services, except on a fee or contract basis, of yarn and fabrics",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61132,"Wholesale trade services, except on a fee or contract basis, of household linens, curtains, net curtains and diverse household articles of textile materials",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61133,"Wholesale trade services, except on a fee or contract basis, of articles of clothing, articles of fur and clothing accessories",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61134,"Wholesale trade services, except on a fee or contract basis, of footwear",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S6114,"Wholesale trade services, except on a fee or contract basis, of household appliances, articles and equipment",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61141,"Wholesale trade services, except on a fee or contract basis, of household furniture",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61142,"Wholesale trade services, except on a fee or contract basis, of radio and television equipment and recorded audio and video disks and tapes",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61143,"Wholesale trade services, except on a fee or contract basis, of articles for lighting",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61144,"Wholesale trade services, except on a fee or contract basis, of household appliances",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61145,"Wholesale trade services, except on a fee or contract basis, of miscellaneous household utensils, cutlery, crockery, glassware, china and pottery",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61146,"Wholesale trade services, except on a fee or contract basis, of wickerwork, cork goods, cooper's ware and other wooden ware",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S6115,"Wholesale trade services, except on a fee or contract basis, of miscellaneous consumer goods",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61151,"Wholesale trade services, except on a fee or contract basis, of books, newspapers, magazines and stationery",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61152,"Wholesale trade services, except on a fee or contract basis, of photographic, optical and precision equipment",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61153,"Wholesale trade services, except on a fee or contract basis, of games and toys",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61154,"Wholesale trade services, except on a fee or contract basis, of watches, clocks and jewellery",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61155,"Wholesale trade services, except on a fee or contract basis, of sports goods (incl. bicycles)",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61156,"Wholesale trade services, except on a fee or contract basis, of leather goods and travel accessories",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61159,"Wholesale trade services, except on a fee or contract basis, of miscellaneous consumer goods n.e.c.",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S6116,"Wholesale trade services, except on a fee or contract basis, of construction materials and hardware",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61161,"Wholesale trade services, except on a fee or contract basis, of construction materials and flat glass",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61162,"Wholesale trade services, except on a fee or contract basis, of fittings, fixtures and ceramic sanitary fixtures",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61163,"Wholesale trade services, except on a fee or contract basis, of wallpaper and floor coverings",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61164,"Wholesale trade services, except on a fee or contract basis, of paints, varnishes and lacquers",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61165,"Wholesale trade services, except on a fee or contract basis, of hardware and hand tools",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S6117,"Wholesale trade services, except on a fee or contract basis, of chemical and pharmaceutical products",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61171,"Wholesale trade services, except on a fee or contract basis, of basic industrial chemicals and synthetic resins",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61172,"Wholesale trade services, except on a fee or contract basis, of fertilizers and agrochemical products",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61173,"Wholesale trade services, except on a fee or contract basis, of pharmaceutical products",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61174,"Wholesale trade services, except on a fee or contract basis, of medical and orthopaedic goods",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61175,"Wholesale trade services, except on a fee or contract basis, of perfumery articles, cosmetic articles and toilet soaps",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61176,"Wholesale trade services, except on a fee or contract basis, of cleaning materials",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S6118,"Wholesale trade services, except on a fee or contract basis, of machinery, equipment and supplies",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61181,"Wholesale trade services, except on a fee or contract basis, of motor vehicles, motorcycles, snowmobiles and related parts and accessories",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61182,"Wholesale trade services, except on a fee or contract basis, of other transport equipment, except bicycles",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61183,"Wholesale trade services, except on a fee or contract basis, of office machinery and equipment including office furniture",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61184,"Wholesale trade services, except on a fee or contract basis, of computers and packaged software",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61185,"Wholesale trade services, except on a fee or contract basis, of electronic and telecommunications equipment and parts",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61186,"Wholesale trade services, except on a fee or contract basis, of agricultural lawn and garden machinery and equipment, including tractors",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61187,"Wholesale trade services, except on a fee or contract basis, of mining, construction and civil engineering machinery and equipment",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61188,"Wholesale trade services, except on a fee or contract basis, of other industry-specific machinery and equipment and related operating supplies",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61189,"Wholesale trade services, except on a fee or contract basis, of other machinery and equipment n.e.c.",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S6119,"Wholesale trade services, except on a fee or contract basis, of other products",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61191,"Wholesale trade services, except on a fee or contract basis, of solid, liquid and gaseous fuels and related products",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61192,"Wholesale trade services, except on a fee or contract basis, of metal ores and metal in primary forms",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61193,"Wholesale trade services, except on a fee or contract basis, of wood in the rough",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61194,"Wholesale trade services, except on a fee or contract basis, of paper and paperboard",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61195,"Wholesale trade services, except on a fee or contract basis, of waste and scrap and materials for recycling",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61197,"Wholesale trade services, except on a fee or contract basis, of electricity",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61198,"Wholesale trade services, except on a fee or contract basis, of water",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61199,"Wholesale trade services, except on a fee or contract basis, of non-metallic minerals and other products n.e.c.",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S612,Wholesale trade services on a fee or contract basis,,Wholesale trade services on a fee or contract basis,,,,,[],,,[]
S6121,"Wholesale trade services on a fee or contract basis, of agricultural raw materials and live animals",,"Wholesale trade services on a fee or contract basis, of agri...",,,,,[],,,[]
S61211,"Wholesale trade services on a fee or contract basis, of grains and oilseeds and oleaginous fruits, seeds and animal feed",,"Wholesale trade services on a fee or contract basis, of grai...",,,,,[],,,[]
S61212,"Wholesale trade services on a fee or contract basis, of flowers and plants",,"Wholesale trade services on a fee or contract basis, of flow...",,,,,[],,,[]
S61213,"Wholesale trade services on a fee or contract basis, of unmanufactured tobacco",,"Wholesale trade services on a fee or contract basis, of unma...",,,,,[],,,[]
S61214,"Wholesale trade services on a fee or contract basis, of live animals, including pet animals",,"Wholesale trade services on a fee or contract basis, of live...",,,,,[],,,[]
S61215,"Wholesale trade services on a fee or contract basis, of hides, skins and leather",,"Wholesale trade services on a fee or contract basis, of hide...",,,,,[],,,[]
S61219,"Wholesale trade services on a fee or contract basis, of agricultural raw materials n.e.c.",,"Wholesale trade services on a fee or contract basis, of agri...",,,,,[],,,[]
