cpcv2,description,common_name,display_name,es_name,fr_name,pt_name,ar_name,aliases,hs2012,scientific_name,per_country_aliases
P33310,"Motor spirit (gasolene), including aviation spirit",Gasoline,Gasoline,Gasolina,Essence,Gasolina,,[],,,[]
P33310AA,"Motor spirit (gasolene), other",Gasoline,Gasoline,,,,,"['33310', 'gasoil', 'gazole', 'epo petirolu', 'petrol', 'charbon de bois', 'gasoline (commercial)', 'essence', 'petrol - official']",,,[]
P33310AB,"Motor spirit (gasolene), superior",Gasoline (Superior),Gasoline (Superior),,,,,"['33310a', 'gasolina súper']",,,[]
P33310AC,"Motor spirit (gasolene), regular",Gasoline (Regular),Gasoline (Regular),,,,,"['33310b', 'gasolina regular']",,,[]
P33310AD,"Motor spirit (gasolene), parallel",Gasoline (Parallel),Gasoline (Parallel),,,,,['petrol - unofficial'],,,[]
P3332,Spirit type (gasolene type) jet fuel,,Spirit type (gasolene type) jet fuel,,,,,[],,,[]
P33320,Spirit type (gasolene type) jet fuel,,Spirit type (gasolene type) jet fuel,,,,,[],['2710.12'],,[]
P3333,"Other light petroleum oils and light oils obtained from bituminous minerals (other than crude); light preparations n.e.c. containing not less than 70% by weight of petroleum oils or oils obtained from bituminous minerals (other than crude), these oils being the basic constituents of the preparations",,Other light petroleum oils and light oils obtained from bitu...,,,,,[],,,[]
P33330,"Other light petroleum oils and light oils obtained from bituminous minerals (other than crude); light preparations n.e.c. containing not less than 70% by weight of petroleum oils or oils obtained from bituminous minerals (other than crude), these oils being the basic constituents of the preparations",,Other light petroleum oils and light oils obtained from bitu...,,,,,[],"['2710.12', '2710.19']",,[]
P3334,Kerosene and kerosene type jet fuel,,Kerosene and kerosene type jet fuel,,,,,[],,,[]
P33341,Kerosene,,Kerosene,Queroseno,Kérosène,Querosene,,[],,,[]
P33341AB,"Kerosene, industrial",,"Kerosene, industrial",,,,,['33341a'],,,[]
P33341AC,"Kerosene, domestic",,"Kerosene, domestic",,,,,['33341b'],,,[]
P33341AA,"Kerosene, other",Kerosene,Kerosene,,,,,"['kérosène', '33341']",,,[]
P33342,Kerosene type jet fuel,,Kerosene type jet fuel,,,,,[],['2710.19'],,[]
P3335,"Other medium petroleum oils and medium oils obtained from bituminous minerals (not kerosene), other than crude; medium preparations n.e.c. containing not less than 70% by weight of petroleum oils or oils obtained from bituminous minerals (other than crude), these oils being the basic constituents of the preparations",,Other medium petroleum oils and medium oils obtained from bi...,,,,,[],,,[]
P33350,"Other medium petroleum oils and medium oils obtained from bituminous minerals (not kerosene), other than crude; medium preparations n.e.c. containing not less than 70% by weight of petroleum oils or oils obtained from bituminous minerals (other than crude), these oils being the basic constituents of the preparations",,Other medium petroleum oils and medium oils obtained from bi...,,,,,[],['2710.19'],,[]
P3336,Gas oils,,Gas oils,,,,,[],,,[]
P33360,Gas oils,Diesel,Diesel,Diésel,Diesel,Gasóleo,,[],"['2710.20', '3826.00', '2710.19']",,[]
P33360AA,"Gas oils, Diesel",Diesel,Diesel,,,,,"['epo disu', 'dizel', 'diesel - official', 'diesel (liter)', 'essence', '33360', 'diesel (commercial)', 'diesel/gas-oil', 'carburant diesel', 'a la pombe']",,,[]
P33360AB,"Gas oils, administered",Diesel (Administered),Diesel (Administered),,,,,"['diesel (subsidized)', 'ojaz']",,,[]
P33360AC,"Gas oils, parallel",Diesel (Parallel),Diesel (Parallel),,,,,"['diesel - unofficial', 'sjaz']",,,[]
P33360AD,"Gas oils, liquid petroleum gas",Liquified Petroleum Gas,Liquified Petroleum Gas,,,,,[],,,[]
P3337,Fuel oils n.e.c.,,Fuel oils n.e.c.,,,,,[],,,[]
P33370,Fuel oils n.e.c.,,Fuel oils n.e.c.,Aceites combustibles n.c.o.p.,Mazouts n.c.a.,"Óleos combustíveis, n.e.c.",,[],['2710.19'],,[]
P33370AA,"Fuel, unspecified",Fuel (unspecified),Fuel (unspecified),,,,,[],,,[]
P3338,"Lubricating petroleum oils and oils obtained from bituminous minerals, other heavy petroleum oils and heavy oils obtained from bituminous minerals (other than crude), and heavy preparations n.e.c. containing not less than 70% by weight of petroleum oils or oils obtained from bituminous minerals (other than crude), these oils being the basic constituents of the preparations",,Lubricating petroleum oils and oils obtained from bituminous...,,,,,[],,,[]
P33380,"Lubricating petroleum oils and oils obtained from bituminous minerals, other heavy petroleum oils and heavy oils obtained from bituminous minerals (other than crude), and heavy preparations n.e.c. containing not less than 70% by weight of petroleum oils or oils obtained from bituminous minerals (other than crude), these oils being the basic constituents of the preparations",,Lubricating petroleum oils and oils obtained from bituminous...,,,,,[],['2710.19'],,[]
P334,"Petroleum gases and other gaseous hydrocarbons, except natural gas",,"Petroleum gases and other gaseous hydrocarbons, except natur...",,,,,[],,,[]
P3341,"Propane and butanes, liquefied",,"Propane and butanes, liquefied",,,,,[],,,[]
P33410,"Propane and butanes, liquefied",,"Propane and butanes, liquefied","Gas propano y butanos, licuados",Propane et butanes liquéfiés,"Propano e butanos, liquefeitos",,[],"['2711.12', '2711.13']",,[]
P33410AA,"Propane and butanes, liquefied",,"Propane and butanes, liquefied",,,,,['33410'],,,[]
P33410AB,"Propane, liquefied",Propane,Propane,,,,,,,,[]
P3342,"Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except natural gas",,"Ethylene, propylene, butylene, butadiene and other petroleum...",,,,,[],,,[]
P33420,"Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except natural gas",,"Ethylene, propylene, butylene, butadiene and other petroleum...",,,,,[],,,[]
P335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials",,"Petroleum jelly; paraffin wax, micro- crystalline petroleum ...",,,,,[],,,[]
P3350,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials",,"Petroleum jelly; paraffin wax, micro- crystalline petroleum ...",,,,,[],,,[]
P33500,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials",,"Petroleum jelly; paraffin wax, micro- crystalline petroleum ...",,,,,[],"['2712.10', '2712.20', '2712.90', '2713.11', '2713.12', '2713.20', '2713.90']",,[]
P336,"Radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues",,"Radioactive elements and isotopes and compounds; alloys, dis...",,,,,[],,,[]
P3361,"Natural uranium and its compounds; alloys, dispersions, ceramic products and mixtures containing natural uranium and its compounds",,"Natural uranium and its compounds; alloys, dispersions, cera...",,,,,[],,,[]
P33610,"Natural uranium and its compounds; alloys, dispersions, ceramic products and mixtures containing natural uranium and its compounds",,"Natural uranium and its compounds; alloys, dispersions, cera...","Uranio natural y sus compuestos; aleaciones, dispersiones, c","Uranium naturel et ses composés; alliages, dispersions, céra","Urânio natural e seus compostos; ligas, dispersões, cera...",,[],['2844.10'],,[]
P33610AA,"Uranium, unspecified",Uranium,Uranium,,,,,"['uranium, nuexco']",,,[]
P3362,"Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products",,Uranium enriched in U235 and its compounds; plutonium and it...,,,,,[],,,[]
P33620,"Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products",,Uranium enriched in U235 and its compounds; plutonium and it...,,,,,[],['2844.20'],,[]
P3363,"Uranium depleted in U235 and its compounds; thorium and its compounds; alloys, dispersions, ceramic products and mixtures containing uranium depleted in U235, thorium or compounds of these products",,Uranium depleted in U235 and its compounds; thorium and its ...,,,,,[],,,[]
P33630,"Uranium depleted in U235 and its compounds; thorium and its compounds; alloys, dispersions, ceramic products and mixtures containing uranium depleted in U235, thorium or compounds of these products",,Uranium depleted in U235 and its compounds; thorium and its ...,,,,,[],['2844.30'],,[]
P3369,"Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues",,Other radioactive elements and isotopes and compounds; alloy...,,,,,[],,,[]
P33690,"Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues",,Other radioactive elements and isotopes and compounds; alloy...,,,,,[],['2844.40'],,[]
P337,"Fuel elements (cartridges), for or of nuclear reactors",,"Fuel elements (cartridges), for or of nuclear reactors",,,,,[],,,[]
P3371,"Fuel elements (cartridges), non-irradiated, for nuclear reactors",,"Fuel elements (cartridges), non-irradiated, for nuclear reac...",,,,,[],,,[]
P33710,"Fuel elements (cartridges), non-irradiated, for nuclear reactors",,"Fuel elements (cartridges), non-irradiated, for nuclear reac...",,,,,[],['8401.30'],,[]
P3372,Spent (irradiated) fuel elements (cartridges) of nuclear reactors,,Spent (irradiated) fuel elements (cartridges) of nuclear rea...,,,,,[],,,[]
P33720,Spent (irradiated) fuel elements (cartridges) of nuclear reactors,,Spent (irradiated) fuel elements (cartridges) of nuclear rea...,,,,,[],['2844.50'],,[]
P34,Basic chemicals,,Basic chemicals,,,,,[],,,[]
P341,Basic organic chemicals,,Basic organic chemicals,,,,,[],,,[]
P3411,"Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",,"Hydrocarbons and their halogenated, sulphonated, nitrated or...",,,,,[],,,[]
P34110,"Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",,"Hydrocarbons and their halogenated, sulphonated, nitrated or...",,,,,[],"['2901.10', '2901.21', '2901.22', '2901.23', '2901.24', '2901.29', '2902.11', '2902.19', '2902.20', '2902.30', '2902.41', '2902.42', '2902.43', '2902.44', '2902.50', '2902.60', '2902.70', '2902.90', '2903.11', '2903.12', '2903.13', '2903.14', '2903.15', '2903.19', '2903.21', '2903.22', '2903.23', '2903.29', '2903.31', '2903.39', '2903.71', '2903.72', '2903.73', '2903.74', '2903.75', '2903.76', '2903.77', '2903.78', '2903.79', '2903.81', '2903.82', '2903.89', '2903.91', '2903.92', '2903.99', '2904.10', '2904.20', '2904.90']",,[]
P3412,Industrial monocarboxylic fatty acids; acid oils from refining,,Industrial monocarboxylic fatty acids; acid oils from refini...,,,,,[],,,[]
P34120,Industrial monocarboxylic fatty acids; acid oils from refining,,Industrial monocarboxylic fatty acids; acid oils from refini...,,,,,[],"['3823.11', '3823.12', '3823.13', '3823.19']",,[]
P3413,"Alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives; industrial fatty alcohols",,"Alcohols, phenols, phenol-alcohols, and their halogenated, s...",,,,,[],,,[]
P34131,"Ethyl alcohol and other spirits, denatured, of any strength",,"Ethyl alcohol and other spirits, denatured, of any strength",,,,,[],['2207.20'],,[]
P34139,"Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives; industrial fatty alcohols",,"Other alcohols, phenols, phenol-alcohols, and their halogena...",,,,,[],"['2905.11', '2905.12', '2905.13', '2905.14', '2905.16', '2905.17', '2905.19', '2905.22', '2905.29', '2905.31', '2905.32', '2905.39', '2905.41', '2905.42', '2905.43', '2905.44', '2905.49', '2905.51', '2905.59', '2906.11', '2906.12', '2906.13', '2906.19', '2906.21', '2906.29', '2907.11', '2907.12', '2907.13', '2907.15', '2907.19', '2907.21', '2907.22', '2907.23', '2907.29', '2908.11', '2908.19', '2908.91', '2908.92', '2908.99', '3823.70']",,[]
P3414,"Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives, except salicylic acid and its salts and esters and their salts",,"Carboxylic acids and their anhydrides, halides, peroxides an...",,,,,[],,,[]
P34140,"Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives, except salicylic acid and its salts and esters and their salts",,"Carboxylic acids and their anhydrides, halides, peroxides an...",,,,,[],"['2915.11', '2915.12', '2915.13', '2915.21', '2915.24', '2915.29', '2915.31', '2915.32', '2915.33', '2915.36', '2915.39', '2915.40', '2915.50', '2915.60', '2915.70', '2915.90', '2916.11', '2916.12', '2916.13', '2916.14', '2916.15', '2916.16', '2916.19', '2916.20', '2916.31', '2916.32', '2916.34', '2916.39', '2917.11', '2917.12', '2917.13', '2917.14', '2917.19', '2917.20', '2917.32', '2917.33', '2917.34', '2917.35', '2917.36', '2917.37', '2917.39', '2918.11', '2918.12', '2918.13', '2918.14', '2918.15', '2918.16', '2918.18', '2918.19', '2918.29', '2918.30', '2918.91', '2918.99']",,[]
P3415,"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and glutamic acid and its salts; ureines and their derivatives and salts thereof; carboxyimide-function compounds and imine-compounds; nitrile-function compounds; diazo-, azo- or azoxy-compounds; organic derivatives of hydrazine or of hydroxylamine; compounds with other nitrogen function",,"Amine-function compounds; oxygen-function amino-compounds, e...",,,,,[],,,[]
P34150,"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and glutamic acid and its salts; ureines and their derivatives and salts thereof; carboxyimide-function compounds and imine-compounds; nitrile-function compounds; diazo-, azo- or azoxy-compounds; organic derivatives of hydrazine or of hydroxylamine; compounds with other nitrogen function",,"Amine-function compounds; oxygen-function amino-compounds, e...",Compuestos con función amínica; compuestos amínicos con func,Composés à fonction amine; composés aminés à fonction oxygén,Compostos de função amina; amino-componentes de função oxigé,,[],"['2921.41', '2929.90', '2926.90', '2921.30', '2921.11', '2922.50', '2922.39', '2924.21', '2921.22', '2921.45', '2921.29', '2922.43', '2925.21', '2921.59', '2922.31', '2928.00', '3102.50', '2922.13', '2922.49', '2927.00', '2921.21', '2922.19', '2926.10', '2926.30', '2926.20', '2925.12', '2921.46', '2922.11', '2922.21', '2921.49', '2922.14', '2922.12', '2925.11', '2921.43', '2922.29', '2921.51', '2925.29', '2925.19', '2929.10', '2921.42', '2922.44', '2921.44', '2921.19']",,[]
P34150AA,"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and glutamic acid and its salts; ureines and their derivatives and salts thereof; carboxyimide-function compounds and imine-compounds; nitrile-function compounds; diazo-, azo- or azoxy-compounds; organic derivatives of hydrazine or of hydroxylamine; compounds with other nitrogen function, unspecified",,"Amine-function compounds; oxygen-function amino-compounds, e...",,,,,,['3102.50'],,[]
P3416,Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids and their salts,,Organo-sulphur compounds and other organo-inorganic compound...,,,,,[],,,[]
P34160,Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids and their salts,,Organo-sulphur compounds and other organo-inorganic compound...,,,,,[],"['2930.20', '2930.30', '2930.40', '2930.50', '2930.90', '2931.10', '2931.20', '2931.90', '2932.11', '2932.12', '2932.13', '2932.19', '2932.91', '2932.92', '2932.93', '2932.94', '2932.95', '2932.99', '2933.29', '2933.31', '2933.32', '2933.33', '2933.39', '2933.41', '2933.49', '2933.61', '2933.71', '2933.72', '2933.79', '2933.91', '2933.99', '2934.10', '2934.20', '2934.91', '2934.99']",,[]
P3417,"Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphonated, nitrated or nitrosated derivatives; aldehyde-function compounds; ketone-function compounds and quinone-function compounds; enzymes; prepared enzymes n.e.c.; organic compounds n.e.c.",,"Ethers, alcohol peroxides, ether peroxides, epoxides, acetal...",,,,,[],,,[]
P34170,"Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphonated, nitrated or nitrosated derivatives; aldehyde-function compounds; ketone-function compounds and quinone-function compounds; enzymes; prepared enzymes n.e.c.; organic compounds n.e.c.",,"Ethers, alcohol peroxides, ether peroxides, epoxides, acetal...",,,,,[],"['2909.11', '2909.19', '2909.20', '2909.30', '2909.41', '2909.43', '2909.44', '2909.49', '2909.50', '2909.60', '2910.10', '2910.20', '2910.30', '2910.40', '2910.90', '2911.00', '2912.11', '2912.12', '2912.19', '2912.21', '2912.29', '2912.41', '2912.42', '2912.49', '2912.50', '2912.60', '2913.00', '2914.11', '2914.12', '2914.13', '2914.19', '2914.22', '2914.23', '2914.29', '2914.31', '2914.39', '2914.40', '2914.50', '2914.61', '2914.69', '2914.70', '2942.00', '3507.10', '3507.90']",,[]
P3418,"Phosphoric esters and their salts or esters of other inorganic acids (excluding esters of hydrogen halides) and their salts; and their halogenated, sulphonated, nitrated or nitrosated derivatives",,Phosphoric esters and their salts or esters of other inorgan...,,,,,[],,,[]
P34180,"Phosphoric esters and their salts or esters of other inorganic acids (excluding esters of hydrogen halides) and their salts; and their halogenated, sulphonated, nitrated or nitrosated derivatives",,Phosphoric esters and their salts or esters of other inorgan...,,,,,[],"['2919.10', '2919.90', '2920.11', '2920.19', '2920.90']",,[]
P342,Basic inorganic chemicals n.e.c.,,Basic inorganic chemicals n.e.c.,,,,,[],,,[]
P3421,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; i...",,,,,[],,,[]
P34210,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; i...",,,,,[],"['2804.10', '2804.21', '2804.29', '2804.30', '2804.40', '2811.21', '2811.29']",,[]
P3422,"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth colours; cobalt oxides and hydroxides; titanium oxides; lead oxides; red lead and orange lead; inorganic bases n.e.c.; metal oxides, hydroxides and peroxides n.e.c., except of mercury",,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; m...,,,,,[],,,[]
P34220,"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth colours; cobalt oxides and hydroxides; titanium oxides; lead oxides; red lead and orange lead; inorganic bases n.e.c.; metal oxides, hydroxides and peroxides n.e.c., except of mercury",,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; m...,,,,,[],"['2817.00', '2819.10', '2819.90', '2820.10', '2820.90', '2821.10', '2821.20', '2822.00', '2823.00', '2824.10', '2824.90', '2825.20', '2825.30', '2825.40', '2825.50', '2825.60', '2825.70', '2825.80', '2825.90']",,[]
P3423,"Chemical elements n.e.c.; inorganic acids; inorganic oxygen compounds of boron, silicon and carbon; halogen or sulphur compounds of non-metals; sodium hydroxide; hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides of strontium or barium; aluminium hydroxide; hydrozine and hydroxylamine and their inorganic salts",,Chemical elements n.e.c.; inorganic acids; inorganic oxygen ...,,,,,[],,,[]
P34231,"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compounds of boron, silicon and carbon; halogen or sulphur compounds of non-metals; sodium hydroxide; hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides of strontium or barium; aluminium hydroxide; hydrozine and hydroxylamine and their inorganic salts",,"Chemical elements n.e.c.; inorganic acids except phosphoric,...",,,,,[],"['2801.10', '2801.20', '2801.30', '2802.00', '2803.00', '2804.50', '2804.61', '2804.69', '2804.70', '2804.80', '2804.90', '2805.11', '2805.12', '2805.19', '2805.30', '2805.40', '2806.10', '2806.20', '2807.00', '2809.10', '2810.00', '2811.11', '2811.19', '2811.22', '2812.10', '2812.90', '2813.10', '2813.90', '2815.11', '2815.12', '2815.20', '2815.30', '2816.10', '2816.40', '2818.30', '2825.10']",,[]
P34232,Phosphoric acid,,Phosphoric acid,,,,,[],['2809.20'],,[]
P34233,"Nitric acid, sulphonitric acids",,"Nitric acid, sulphonitric acids",,,,,[],['2808.00'],,[]
P3424,Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,,Phosphates of triammonium; salts and peroxysalts of inorgani...,,,,,[],,,[]
P34240,Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,,Phosphates of triammonium; salts and peroxysalts of inorgani...,,,,,[],"['2826.12', '2826.19', '2826.30', '2826.90', '2827.20', '2827.31', '2827.32', '2827.35', '2827.39', '2827.41', '2827.49', '2827.51', '2827.59', '2827.60', '2828.10', '2828.90', '2829.11', '2829.19', '2829.90', '2830.10', '2830.90', '2831.10', '2831.90', '2832.10', '2832.20', '2832.30', '2833.11', '2833.19', '2833.21', '2833.22', '2833.24', '2833.25', '2833.27', '2833.29', '2833.30', '2833.40', '2834.29', '2835.10', '2835.22', '2835.24', '2835.25', '2835.26', '2835.29', '2835.31', '2835.39', '2836.20', '2836.30', '2836.40', '2836.50', '2836.60', '2836.91', '2836.92', '2836.99']",,[]
P3425,Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and organic compounds of mercury; other inorganic chemicals n.e.c.; compressed air; amalgams,,Salts of oxometallic or peroxometallic acids; colloidal prec...,,,,,[],,,[]
P34250,Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and organic compounds of mercury; other inorganic chemicals n.e.c.; compressed air; amalgams,,Salts of oxometallic or peroxometallic acids; colloidal prec...,,,,,[],"['2841.30', '2841.50', '2841.61', '2841.69', '2841.70', '2841.80', '2841.90', '2843.10', '2843.21', '2843.29', '2843.30', '2843.90', '2852.10', '2852.90', '2853.00']",,[]
P3426,Isotopes n.e.c. and compounds thereof (including heavy water),,Isotopes n.e.c. and compounds thereof (including heavy water...,,,,,[],,,[]
P34260,Isotopes n.e.c. and compounds thereof (including heavy water),,Isotopes n.e.c. and compounds thereof (including heavy water...,,,,,[],"['2845.10', '2845.90']",,[]
P3427,"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perborates",,"Cyanides, cyanide oxides and complex cyanides; fulminates, c...",,,,,[],,,[]
P34270,"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perborates",,"Cyanides, cyanide oxides and complex cyanides; fulminates, c...",,,,,[],"['2837.11', '2837.19', '2837.20', '2839.11', '2839.19', '2839.90', '2840.11', '2840.19', '2840.20', '2840.30', '2842.10', '2842.90']",,[]
P3428,"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",,"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides,...",,,,,[],,,[]
P34280,"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",,"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides,...",,,,,[],"['2847.00', '2848.00', '2849.10', '2849.20', '2849.90', '2850.00']",,[]
P3429,"Compounds of rare earth metals, of yttrium or of scandium",,"Compounds of rare earth metals, of yttrium or of scandium",,,,,[],,,[]
P34290,"Compounds of rare earth metals, of yttrium or of scandium",,"Compounds of rare earth metals, of yttrium or of scandium",,,,,[],"['2846.10', '2846.90']",,[]
P343,Tanning or dyeing extracts; tannins and their derivatives; colouring matter n.e.c.,,Tanning or dyeing extracts; tannins and their derivatives; c...,,,,,[],,,[]
P3431,Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used as fluorescent brightening agents or as luminophores; colour lakes and preparations based thereon,,Synthetic organic colouring matter and preparations based th...,,,,,[],,,[]
P34310,Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used as fluorescent brightening agents or as luminophores; colour lakes and preparations based thereon,,Synthetic organic colouring matter and preparations based th...,,,,,[],"['3204.11', '3204.12', '3204.13', '3204.14', '3204.15', '3204.16', '3204.17', '3204.19', '3204.20', '3204.90', '3205.00']",,[]
P3432,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives; colouring matter of vegetable or animal origin, except animal black; preparations based on colouring matter of vegetable or animal origin",,Tanning extracts of vegetable origin; tannins and their salt...,,,,,[],,,[]
P34320,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives; colouring matter of vegetable or animal origin, except animal black; preparations based on colouring matter of vegetable or animal origin",,Tanning extracts of vegetable origin; tannins and their salt...,,,,,[],"['3201.10', '3201.20', '3201.90', '3203.00']",,[]
P3433,Synthetic organic tanning substances; inorganic tanning substances; tanning preparations; enzymatic preparations for pre-tanning,,Synthetic organic tanning substances; inorganic tanning subs...,,,,,[],,,[]
P34330,Synthetic organic tanning substances; inorganic tanning substances; tanning preparations; enzymatic preparations for pre-tanning,,Synthetic organic tanning substances; inorganic tanning subs...,,,,,[],"['3202.10', '3202.90']",,[]
P3434,Colouring matter n.e.c.; inorganic products of a kind used as luminophores,,Colouring matter n.e.c.; inorganic products of a kind used a...,,,,,[],,,[]
P34340,Colouring matter n.e.c.; inorganic products of a kind used as luminophores,,Colouring matter n.e.c.; inorganic products of a kind used a...,,,,,[],"['3206.11', '3206.19', '3206.20', '3206.41', '3206.42', '3206.49', '3206.50']",,[]
P344,"Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of coniferous woods; crude dipentene; crude para-cymene; pine oil; rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; rum gums; wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch",,Activated natural mineral products; animal black; tall oil; ...,,,,,[],,,[]
P3440,"Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of coniferous woods; crude dipentene; crude para-cymene; pine oil; rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; rum gums; wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch",,Activated natural mineral products; animal black; tall oil; ...,,,,,[],,,[]
P34400,"Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of coniferous woods; crude dipentene; crude para-cymene; pine oil; rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; rum gums; wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch",,Activated natural mineral products; animal black; tall oil; ...,,,,,[],"['3802.90', '3803.00', '3805.10', '3805.90', '3806.10', '3806.20', '3806.30', '3806.90', '3807.00']",,[]
P345,Miscellaneous basic chemical products,,Miscellaneous basic chemical products,,,,,[],,,[]
P3451,Wood charcoal,,Wood charcoal,,,,,[],,,[]
P34510,Wood charcoal,Charcoal,Charcoal,Carbón,Charbon de bois,Carvão vegetal,,[],"['4402.10', '4402.90']",,[]
P34510AA,Wood charcoal,Charcoal,Charcoal,,,,,"['charbon', '34510', 'charbon de bois']",,,[]
P3452,"Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur",,"Sulphur, except sublimed sulphur, precipitated sulphur and c...",,,,,[],,,[]
P34520,"Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur",,"Sulphur, except sublimed sulphur, precipitated sulphur and c...",,,,,[],['2503.00'],,[]
P3453,Roasted iron pyrites,,Roasted iron pyrites,,,,,[],,,[]
P34530,Roasted iron pyrites,,Roasted iron pyrites,,,,,[],['2601.20'],,[]
P3454,"Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitch coke, obtained from mineral tars",,Oils and other products of the distillation of high temperat...,,,,,[],,,[]
P34540,"Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitch coke, obtained from mineral tars",,Oils and other products of the distillation of high temperat...,,,,,[],"['2707.10', '2707.20', '2707.30', '2707.40', '2707.50', '2707.91', '2707.99', '2708.10', '2708.20']",,[]
