"CPC21code","CPC21partial","HS12code","HS12partial"
"15400",1,"2508.50",0
"15400",1,"2508.60",0
"15400",1,"2508.70",0
"16110",1,"2510.10",0
"16110",1,"2510.20",0
"16120",0,"2502.00",0
"16190",1,"2511.10",0
"16190",1,"2511.20",0
"16190",1,"2528.00",0
"16190",1,"2529.21",0
"16190",1,"2529.22",0
"16190",1,"2530.20",0
"16190",1,"2530.90",0
"16200",0,"2501.00",0
"16310",1,"7102.10",0
"16310",1,"7102.31",0
"16310",1,"7103.10",0
"16320",1,"2513.10",0
"16320",1,"2513.20",0
"16320",1,"7102.21",0
"16330",1,"2509.00",0
"16330",1,"2518.10",0
"16390",1,"2504.10",0
"16390",1,"2504.90",0
"16390",1,"2506.10",0
"16390",1,"2512.00",0
"16390",1,"2519.10",0
"16390",1,"2519.90",0
"16390",1,"2524.10",0
"16390",1,"2524.90",0
"16390",1,"2525.10",0
"16390",1,"2525.20",0
"16390",1,"2526.10",0
"16390",1,"2526.20",0
"16390",1,"2529.10",0
"16390",1,"2529.30",0
"16390",1,"2530.10",0
"17100",0,"2716.00",0
"17200",0,"2705.00",0
"17300",0,"2201.90",1
"17400",0,"2201.90",1
"18000",0,"2201.90",1
"21111",1,"0201.10",1
"21111",1,"0201.20",1
"21111",1,"0201.30",1
"21112",1,"0201.10",1
"21112",1,"0201.20",1
"21112",1,"0201.30",1
"21113",1,"0203.11",0
"21113",1,"0203.12",0
"21113",1,"0203.19",0
"21114",0,"0208.10",1
"21115",1,"0204.10",0
"21115",1,"0204.21",0
"21115",1,"0204.22",0
"21115",1,"0204.23",0
"21116",0,"0204.50",1
"21117",0,"0208.60",1
"21118",0,"0205.00",1
"21119",1,"0208.30",1
"21119",1,"0208.40",1
"21119",1,"0208.90",1
"21121",1,"0207.11",0
"21121",1,"0207.13",1
"21122",1,"0207.41",0
"21122",1,"0207.44",1
"21123",1,"0207.51",0
"21123",1,"0207.54",1
"21124",1,"0207.24",0
"21124",1,"0207.26",1
"21125",0,"0207.60",1
"21131",1,"0202.10",1
